Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 512, 8]",1,"metal0",59.292,"vm.builtin.cached_padding_1d_update",0.12664
"float32[1, 512, 8]",1,"metal0",62.375,"vm.builtin.cached_padding_1d_update",0.133225
"float32[1, 512, 8]",1,"metal0",335.75,"vm.builtin.cached_padding_1d_update",0.717121
"float32[1, 512, 8], float32[512, 512, 1], float32[1, 512, 1], float32[1, 512, 8], float32[1, 512, 8]",1,"metal0",225.375,"fused_conv1d35_add27_add28_add291",0.481373
"float32[1, 512, 8]",1,"metal0",72.041,"vm.builtin.cached_padding_1d_update",0.153871
"float32[1, 512, 8], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",170.125,"fused_reshape18_snake3_reshape181",0.363366
"float32[1, 512, 8]",1,"metal0",34.417,"vm.builtin.cached_padding_1d_update",0.0735105
"float32[1, 512, 8]",1,"metal0",246.375,"vm.builtin.cached_padding_1d_update",0.526227
"float32[1, 512, 26], float32[512, 512, 7], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",213.917,"fused_conv1d36_add271",0.4569
"float32[1, 512, 8], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",179.792,"fused_reshape18_snake3_reshape181",0.384014
"float32[1, 512, 8]",1,"metal0",51.666,"vm.builtin.cached_padding_1d_update",0.110352
"float32[1, 512, 8]",1,"metal0",56.541,"vm.builtin.cached_padding_1d_update",0.120765
"float32[1, 512, 8]",1,"metal0",327.458,"vm.builtin.cached_padding_1d_update",0.69941
"float32[1, 512, 8], float32[512, 512, 1], float32[1, 512, 1], float32[1, 512, 8], float32[1, 512, 8]",1,"metal0",190.042,"fused_conv1d35_add27_add28_add291",0.405906
"float32[1, 512, 8]",1,"metal0",64.083,"vm.builtin.cached_padding_1d_update",0.136873
"float32[1, 512, 8], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",221.916,"fused_reshape18_snake3_reshape181",0.473985
"float32[1, 512, 8]",1,"metal0",88.541,"vm.builtin.cached_padding_1d_update",0.189113
"float32[1, 512, 8]",1,"metal0",236.25,"vm.builtin.cached_padding_1d_update",0.504601
"float32[1, 512, 62], float32[512, 512, 7], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",240.792,"fused_conv1d37_add271",0.514302
"float32[1, 512, 8], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",209.042,"fused_reshape18_snake3_reshape181",0.446488
"float32[1, 512, 8]",1,"metal0",67.042,"vm.builtin.cached_padding_1d_update",0.143193
"float32[1, 512, 8]",1,"metal0",50.625,"vm.builtin.cached_padding_1d_update",0.108129
"float32[1, 512, 8]",1,"metal0",330.041,"vm.builtin.cached_padding_1d_update",0.704927
"float32[1, 512, 8], float32[512, 512, 1], float32[1, 512, 1], float32[1, 512, 8], float32[1, 512, 8]",1,"metal0",189.917,"fused_conv1d35_add27_add28_add291",0.405639
"float32[1, 512, 8], float32[1, 512, 1], float32[1, 512, 8]",1,"metal0",201.917,"fused_reshape18_snake3_reshape181",0.43127
"float32[1, 512, 8]",1,"metal0",299.5,"vm.builtin.cached_padding_1d_update",0.639695
"float32[1, 512, 8]",1,"metal0",219.667,"vm.builtin.cached_padding_1d_update",0.469182
"float32[1, 512, 16], float32[1024, 512, 16], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",460,"fused_conv1d38_add301",0.982504
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",184.708,"fused_reshape20_snake4_reshape201",0.394514
"float32[1, 1024, 1]",1,"metal0",40.917,"vm.builtin.cached_padding_1d_update",0.0873937
"float32[1, 1024, 1]",1,"metal0",225.583,"vm.builtin.cached_padding_1d_update",0.481818
"float32[1, 1024, 3], float32[1024, 1024, 3], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",302.833,"fused_conv1d39_add301",0.646814
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",224.459,"fused_conv1d40_add311",0.479417
"float32[1, 8, 1]",1,"metal0",67.917,"vm.builtin.reshape",0.145062
"float32[1, 8], float32[1, 1]",1,"metal0",175.333,"fused_tir_square29_sum291",0.37449
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",158.125,"fused_broadcast_to_maximum_tir_sqrt12_divide291",0.337736
"float32[1, 8], float32[1, 1]",1,"metal0",210.042,"fused_tir_square29_sum291",0.448624
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",185.958,"fused_matmul_multiply29_subtract_add321",0.397183
"float32[1, 1024], int32[1, 1]",1,"metal0",320.709,"topk",0.684995
"int32[1, 1]",1,"metal0",58.125,"vm.builtin.reshape",0.124148
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",175.042,"take11",0.373868
"float32[1, 8]",1,"metal0",56.083,"vm.builtin.reshape",0.119786
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",161.083,"fused_conv1d41_add301",0.344054
